Ticker,Field,Value,End Date,Scrape Date
DIS,Retained Earnings,"41,547,000",12/31/2021,03/25/2022
DIS,Retained Earnings,"40,429,000",9/30/2021,03/25/2022
DIS,Retained Earnings,"40,311,000",6/30/2021,03/25/2022
DIS,Retained Earnings,"39,365,000",3/31/2021,03/25/2022
DIS,Changes in Cash,"-1,480,000",12/31/2021,03/25/2022
DIS,Changes in Cash,"-65,000",9/30/2021,03/25/2022
DIS,Changes in Cash,"176,000",6/30/2021,03/25/2022
DIS,Changes in Cash,"-1,111,000",3/31/2021,03/25/2022
T,Operating Income,"5,496,000",12/31/2021,03/25/2022
T,Operating Income,"7,270,000",9/30/2021,03/25/2022
T,Operating Income,"7,824,000",6/30/2021,03/25/2022
T,Operating Income,"7,661,000",3/31/2021,03/25/2022
T,Net Income from Continuing Operations,"5,390,000",12/31/2021,03/25/2022
T,Net Income from Continuing Operations,"6,273,000",9/30/2021,03/25/2022
T,Net Income from Continuing Operations,"1,874,000",6/30/2021,03/25/2022
T,Net Income from Continuing Operations,"7,942,000",3/31/2021,03/25/2022
T,Retained Earnings,"42,350,000",12/31/2021,03/25/2022
T,Retained Earnings,"41,091,000",9/30/2021,03/25/2022
T,Retained Earnings,"38,947,000",6/30/2021,03/25/2022
T,Retained Earnings,"41,154,000",3/31/2021,03/25/2022
T,Changes in Cash,"-89,000",12/31/2021,03/25/2022
T,Changes in Cash,"9,429,000",9/30/2021,03/25/2022
T,Changes in Cash,"548,000",6/30/2021,03/25/2022
T,Changes in Cash,"1,558,000",3/31/2021,03/25/2022
PG,Operating Income,"5,168,000",12/31/2021,03/25/2022
PG,Operating Income,"5,023,000",9/30/2021,03/25/2022
PG,Operating Income,"3,540,000",6/30/2021,03/25/2022
PG,Operating Income,"3,785,000",3/31/2021,03/25/2022
PG,Net Income from Continuing Operations,"4,242,000",12/31/2021,03/25/2022
PG,Net Income from Continuing Operations,"4,126,000",9/30/2021,03/25/2022
PG,Net Income from Continuing Operations,"2,908,000",6/30/2021,03/25/2022
PG,Net Income from Continuing Operations,"3,249,000",3/31/2021,03/25/2022
PG,Retained Earnings,"110,393,000",12/31/2021,03/25/2022
PG,Retained Earnings,"108,361,000",9/30/2021,03/25/2022
PG,Retained Earnings,"106,374,000",6/30/2021,03/25/2022
PG,Retained Earnings,"105,674,000",3/31/2021,03/25/2022
PG,Changes in Cash,"1,303,000",12/31/2021,03/25/2022
PG,Changes in Cash,"209,000",9/30/2021,03/25/2022
PG,Changes in Cash,"245,000",6/30/2021,03/25/2022
PG,Changes in Cash,"-1,853,000",3/31/2021,03/25/2022
LOW,Operating Income,"1,849,000",1/31/2022,03/25/2022
LOW,Operating Income,"2,789,000",10/31/2021,03/25/2022
LOW,Operating Income,"4,210,000",7/31/2021,03/25/2022
LOW,Operating Income,"3,245,000",4/30/2021,03/25/2022
LOW,Net Income from Continuing Operations,"1,207,000",1/31/2022,03/25/2022
LOW,Net Income from Continuing Operations,"1,895,000",10/31/2021,03/25/2022
LOW,Net Income from Continuing Operations,"3,019,000",7/31/2021,03/25/2022
LOW,Net Income from Continuing Operations,"2,321,000",4/30/2021,03/25/2022
LOW,Retained Earnings,"-5,115,000",1/31/2022,03/25/2022
LOW,Retained Earnings,"-1,913,000",10/31/2021,03/25/2022
LOW,Retained Earnings,"-460,000",7/31/2021,03/25/2022
LOW,Retained Earnings,"98,000",4/30/2021,03/25/2022
LOW,Changes in Cash,"-4,977,000",1/31/2022,03/25/2022
LOW,Changes in Cash,"1,287,000",10/31/2021,03/25/2022
LOW,Changes in Cash,"-1,854,000",7/31/2021,03/25/2022
LOW,Changes in Cash,"1,995,000",4/30/2021,03/25/2022
CI,Net Income from Continuing Operations,"1,133,000",12/31/2021,03/25/2022
CI,Net Income from Continuing Operations,"1,635,000",9/30/2021,03/25/2022
CI,Net Income from Continuing Operations,"1,476,000",6/30/2021,03/25/2022
CI,Net Income from Continuing Operations,"1,171,000",3/31/2021,03/25/2022
CI,Retained Earnings,"32,593,000",12/31/2021,03/25/2022
CI,Retained Earnings,"31,803,000",9/30/2021,03/25/2022
CI,Retained Earnings,"30,513,000",6/30/2021,03/25/2022
CI,Retained Earnings,"29,389,000",3/31/2021,03/25/2022
CI,Changes in Cash,"2,027,000",12/31/2021,03/25/2022
CI,Changes in Cash,"-319,000",9/30/2021,03/25/2022
CI,Changes in Cash,"-2,665,000",6/30/2021,03/25/2022
CI,Changes in Cash,"-3,675,000",3/31/2021,03/25/2022
